task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
6;cpu14;4a/74a713;nf-4a74a713494e3c99254ee2d80f2d315b;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED;genome.interval_list;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list);COMPLETED;0;-;quay.io/biocontainers/gawk:5.1.0;1;14400000;-;1073741824;1;1668300346322;1668300352000;1668300354000;7678;0;-;18.2;0.0;2867200;11567104;2867200;11571200;52267;1090;154;18;0;12288;2;0;/data/work/4a/74a713494e3c99254ee2d80f2d315b;-;-
5;node10;be/18b2cf;nf-be18b2cffb827087f816cec67d7cc8d9;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP;dbsnp_146.hg38.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668300346492;1668300354000;1668300354000;7508;0;-;10.3;0.0;3252224;5632000;3252224;5636096;132515;3148;197;46;0;12288;2;1;/data/work/be/18b2cffb827087f816cec67d7cc8d9;-;-
13;cpu14;3f/982111;nf-3f9821118c71ff7a9dcc1d6b2877c819;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test2-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test2-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668300346250;1668300353000;1668300358000;11750;3000;-;272.0;0.1;182861824;4092051456;184209408;4123107328;22300680;4322764;14799;12196;0;4743168;10;2;/data/work/3f/9821118c71ff7a9dcc1d6b2877c819;-;-
10;cpu05;56/0cbbde;nf-560cbbde7276bcd834c765e256f9d98b;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED;genome;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;2;14400000;-;12884901888;1;1668300346355;1668300355000;1668300360000;13645;5000;-;166.1;0.2;276787200;16189538304;276787200;16190361600;104429641;697371;40862;241;0;872448;15;9;/data/work/56/0cbbde7276bcd834c765e256f9d98b;-;-
9;cpu05;e4/df83ab;nf-e4df83ab18598c3126d773560ef3a36a;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;1;14400000;-;6442450944;1;1668300346389;1668300356000;1668300357000;10611;0;-;18.1;0.0;3284992;5632000;3284992;5636096;150311;4931;228;19;0;12288;2;3;/data/work/e4/df83ab18598c3126d773560ef3a36a;-;-
15;node10;43/7630d2;nf-437630d252e10c7b26b039377d01ff4a;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC;test4-test_L1;NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (test4-test_L1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;4;28800000;-;4294967296;1;1668300346556;1668300354000;1668300362000;15444;7000;-;232.3;0.4;512049152;4092051456;512315392;4123107328;55792385;3639846;80762;11157;0;4161536;12;4;/data/work/43/7630d252e10c7b26b039377d01ff4a;-;-
18;cpu05;b2/1c5ee7;nf-b21c5ee7c7111b08de9868de77338f73;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT;chr22_1-40001;NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr22_1-40001);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668300357650;1668300361000;1668300361000;3350;0;-;65.3;0.0;3211264;5632000;3211264;5636096;87870;3237;213;47;0;16384;6;0;/data/work/b2/1c5ee7c7111b08de9868de77338f73;-;-
1;node8;d2/75e376;nf-d275e3769cda9c9238538faf5f4dafa5;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/gatk4:4.2.6.1--hdfd78af_0;6;28800000;-;38654705664;1;1668300346210;1668300357000;1668300361000;14790;4000;-;251.3;0.2;258662400;42182885376;258662400;42243723264;104411090;697577;40896;243;0;1064960;15;6;/data/work/d2/75e3769cda9c9238538faf5f4dafa5;-;-
2;node8;5e/cd7e10;nf-5ecd7e10d662467b9582318612499a15;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS;mills_and_1000G.indels.vcf;NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf);COMPLETED;0;-;quay.io/biocontainers/tabix:1.11--hdfd78af_0;1;14400000;-;1073741824;1;1668300346286;1668300361000;1668300361000;14714;0;-;25.5;0.0;3244032;5632000;3244032;5636096;82283;3144;194;46;0;12288;2;2;/data/work/5e/cd7e10d662467b9582318612499a15;-;-
11;node8;32/f76d0a;nf-32f76d0a0d9d0bfa01bde4ff617b9979;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX;genome.fasta;NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.17--hed695b0_7;6;28800000;-;53687091200;1;1668300346426;1668300358000;1668300360000;13574;0;-;6.8;0.0;2879488;11567104;2879488;11571200;232609;113156;174;65;0;139264;2;0;/data/work/32/f76d0a0d9d0bfa01bde4ff617b9979;-;-
