task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu14;ec/feacc9;nf-ecfeacc9913d0d594aaccad4299df719;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669755530228;1669755536000;1669755537000;6772;1000;-;14.5;0.0;41594880;151281664;41594880;218169344;247722;58071;363;45;0;110592;18;5;/data/work/ec/feacc9913d0d594aaccad4299df719;-;-
6;node8;20/91ba65;nf-2091ba65f54b9ad25a3d73204ad50ccb;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669755530314;1669755536000;1669755536000;5686;121;-;23.0;0.0;3035136;4071424;3035136;4079616;99076;5092;261;18;0;16384;2;3;/data/work/20/91ba65f54b9ad25a3d73204ad50ccb;-;-
1;node8;0a/121914;nf-0a121914cd66bd9980d95ac375b42acf;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669755530394;1669755536000;1669755537000;6606;0;-;36.0;0.0;3248128;5632000;3248128;5636096;711836;1382;279;18;0;12288;2;0;/data/work/0a/121914cd66bd9980d95ac375b42acf;-;-
3;node10;c9/ca402b;nf-c9ca402b3b4109306b2e06624ba1fa46;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669755530468;1669755536000;1669755536000;5532;0;-;18.5;0.0;3325952;5632000;3325952;5636096;699592;4226;279;18;0;12288;2;0;/data/work/c9/ca402b3b4109306b2e06624ba1fa46;-;-
9;cpu14;29/c4289d;nf-29c4289de6fafbf0ed82dafce781d73d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669755530512;1669755534000;1669755535000;4488;468;-;108.9;0.0;3198976;4071424;3198976;4079616;96380809;110259123;7211;7089;0;55144448;10;7;/data/work/29/c4289de6fafbf0ed82dafce781d73d;-;-
7;cpu05;e6/8e7d5a;nf-e68e7d5aab54f76707d425f2978cc079;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669755530274;1669755539000;1669755539000;8726;446;-;22.0;0.0;3022848;4071424;3022848;4079616;10375204;18316764;1441;1206;0;9179136;2;2;/data/work/e6/8e7d5aab54f76707d425f2978cc079;-;-
5;cpu05;df/961d26;nf-df961d26d535c1c49d7e62ec432b733e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669755530355;1669755542000;1669755544000;13645;1000;-;33.7;0.0;12472320;17797120;12472320;17801216;1886750;8721320;595;3045;0;8810496;7;6;/data/work/df/961d26d535c1c49d7e62ec432b733e;-;-
8;cpu05;f5/1510ce;nf-f51510ce7ff9ec005de2d2f0caa8036f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669755530429;1669755540000;1669755545000;14571;1000;-;2.8;0.0;2883584;11567104;2883584;11571200;93068;9837;158;413;0;24576;2;2;/data/work/f5/1510ce7ff9ec005de2d2f0caa8036f;-;-
4;cpu05;5b/7886fa;nf-5b7886fa3b61b6fdc631bd3b9fb3969d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669755530549;1669755542000;1669755544000;13451;1000;-;3.8;0.0;3244032;5632000;3244032;5636096;144311;4977;238;20;0;16384;5;2;/data/work/5b/7886fa3b61b6fdc631bd3b9fb3969d;-;-
15;node10;c4/6ed368;nf-c46ed3680216e534453458770be30383;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669755540902;1669755547000;1669755549000;8098;2000;-;100.4;0.9;1179758592;1721761792;1179758592;1746944000;9866729;2508309;196;419;0;2523136;21;189;/data/work/c4/6ed3680216e534453458770be30383;-;-
