task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;cpu05;6c/36e9d9;nf-6c36e9d9d4007b6bd5bb05975eb5c659;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669736629942;1669736635000;1669736638000;8058;1000;-;2.1;0.0;2899968;11567104;2899968;11571200;93068;9837;158;413;0;24576;2;0;/data/work/6c/36e9d9d4007b6bd5bb05975eb5c659;-;-
7;node8;47/e0abf0;nf-47e0abf0d933f831514a7e05b33f97a0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669736630041;1669736637000;1669736637000;6959;0;-;58.2;0.0;3223552;5632000;3223552;5636096;144093;4969;237;20;0;16384;2;2;/data/work/47/e0abf0d933f831514a7e05b33f97a0;-;-
4;cpu05;c8/fb87e8;nf-c8fb87e83528feda294c8c136a5c3c79;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669736630079;1669736635000;1669736638000;7921;1396;-;36.9;0.0;7041024;11599872;7041024;11616256;96380790;110259122;7210;7089;0;55144448;439;23;/data/work/c8/fb87e83528feda294c8c136a5c3c79;-;-
5;cpu14;d1/862470;nf-d1862470aed67cef68525a5543a6f2e0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669736629808;1669736642000;1669736642000;12192;91;-;29.8;0.0;2949120;4071424;2949120;4079616;99312;5101;261;18;0;16384;2;0;/data/work/d1/862470aed67cef68525a5543a6f2e0;-;-
1;node10;4a/a2f4e2;nf-4aa2f4e2c3d6edc0e540d8d1dc1c3549;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669736629858;1669736641000;1669736643000;13142;2000;-;15.7;0.0;41512960;151281664;41512960;218169344;247696;58071;363;45;0;110592;18;9;/data/work/4a/a2f4e2c3d6edc0e540d8d1dc1c3549;-;-
6;node8;c7/f64466;nf-c7f64466f7bb87a3f67ec0d20b57fc16;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669736629900;1669736638000;1669736640000;10100;412;-;21.4;0.0;3067904;4071424;3067904;4079616;10374984;18316754;1439;1206;0;9179136;2;0;/data/work/c7/f64466f7bb87a3f67ec0d20b57fc16;-;-
9;node10;59/d04983;nf-59d049839dff9b710f009190782ca59f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669736630006;1669736642000;1669736642000;11994;0;-;128.1;0.0;3289088;5632000;3289088;5636096;1886746;8721321;594;3045;0;8810496;2;2;/data/work/59/d049839dff9b710f009190782ca59f;-;-
2;cpu14;33/8e21c7;nf-338e21c7675599aa07aaf333072b732d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669736630116;1669736642000;1669736642000;11884;0;-;82.1;0.0;3211264;5632000;3211264;5636096;699611;4226;279;18;0;12288;3;1;/data/work/33/8e21c7675599aa07aaf333072b732d;-;-
8;cpu14;90/8d1260;nf-908d12604054ed2af82df74477afff40;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669736629972;1669736643000;1669736645000;15028;0;-;56.3;0.0;3239936;5632000;3239936;5636096;712070;1391;280;18;0;12288;2;2;/data/work/90/8d12604054ed2af82df74477afff40;-;-
10;node10;24/9b65e7;nf-249b65e70fc42906848ad12bff41b6ed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669736645765;1669736651000;1669736657000;11235;5000;-;23.8;0.0;69894144;16154652672;69894144;16221605888;18770183;17067;4368;169;0;102400;14;2;/data/work/24/9b65e70fc42906848ad12bff41b6ed;-;-
