task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;node10;0e/70b758;nf-0e70b758054565b3aa32f2bac38445c3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669765407752;1669765416000;1669765417000;9248;750;-;72.8;0.0;3018752;4071424;3018752;4079616;96380789;110259122;7196;7089;0;55144448;2;2;/data/work/0e/70b758054565b3aa32f2bac38445c3;-;-
1;cpu05;14/85d688;nf-1485d6886155f1a6c2892294e083c726;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669765407628;1669765418000;1669765420000;12372;1000;-;58.0;0.0;3272704;5632000;3272704;5636096;1886750;8721320;595;3045;0;8810496;2;3;/data/work/14/85d6886155f1a6c2892294e083c726;-;-
6;node8;d2/d8e426;nf-d2d8e426ebe714b30e595d16102faa7f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669765407674;1669765418000;1669765418000;10326;103;-;79.6;0.0;3014656;4071424;3014656;4079616;10374984;18316754;1442;1206;0;9179136;2;0;/data/work/d2/d8e426ebe714b30e595d16102faa7f;-;-
5;node10;d8/9634ba;nf-d89634bae3dcf6ab01a195a78c4c95e4;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669765407714;1669765415000;1669765418000;10286;2000;-;12.7;0.0;36245504;1159774208;36245504;1226661888;247701;58071;363;45;0;110592;67;40;/data/work/d8/9634bae3dcf6ab01a195a78c4c95e4;-;-
9;node8;c7/c20dc1;nf-c7c20dc1c66731e21f62e1853338dae4;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669765407789;1669765420000;1669765422000;14211;0;-;79.7;0.0;3219456;5632000;3219456;5636096;699377;4217;278;18;0;12288;6;0;/data/work/c7/c20dc1c66731e21f62e1853338dae4;-;-
3;cpu14;c0/20feb4;nf-c020feb49eb5d05e9ae5dcc2f64e0620;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669765407826;1669765417000;1669765418000;10174;0;-;18.5;0.0;2863104;11567104;2863104;11571200;93085;9838;158;413;0;24576;2;1;/data/work/c0/20feb49eb5d05e9ae5dcc2f64e0620;-;-
7;cpu05;37/e6d641;nf-37e6d6417082cf4945364497d3510208;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669765407861;1669765419000;1669765420000;12139;1000;-;10.2;0.0;3260416;5632000;3260416;5636096;712054;1391;280;18;0;12288;2;0;/data/work/37/e6d6417082cf4945364497d3510208;-;-
8;node8;60/b914d1;nf-60b914d15a4799ea8c363f1f16c09816;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669765407896;1669765417000;1669765417000;9104;0;-;19.7;0.0;3268608;5632000;3268608;5636096;144094;4969;237;20;0;16384;2;0;/data/work/60/b914d15a4799ea8c363f1f16c09816;-;-
2;cpu14;c5/92dff7;nf-c592dff7f66330d32ada11ea918fce90;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669765407932;1669765418000;1669765418000;10068;46;-;35.6;0.0;3108864;4071424;3108864;4079616;99312;5101;261;18;0;16384;2;0;/data/work/c5/92dff7f66330d32ada11ea918fce90;-;-
11;cpu14;43/fb2662;nf-43fb2662183b118fa332d56cf44cb896;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669765424324;1669765434000;1669765435000;10676;615;-;4.8;0.0;3035136;4071424;3035136;4079616;5892275;5804651;247;19;0;5812224;2;3;/data/work/43/fb2662183b118fa332d56cf44cb896;-;-
