task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu14;e2/ac7c23;nf-e2ac7c2328ab90ef19f1a6574760df2e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669685304185;1669685313000;1669685313000;8815;0;-;76.6;0.0;3219456;5632000;3219456;5636096;144329;4978;238;20;0;16384;2;0;/data/work/e2/ac7c2328ab90ef19f1a6574760df2e;-;-
3;node8;09/82b777;nf-0982b777741571e430637f33a9761e28;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669685304292;1669685309000;1669685311000;6708;1000;-;48.3;0.0;3166208;5632000;3166208;5636096;1886522;8721311;594;3048;0;8810496;2;3;/data/work/09/82b777741571e430637f33a9761e28;-;-
8;node10;c2/fc8527;nf-c2fc85276b085ac5d90678987a995783;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669685304359;1669685311000;1669685311000;6641;0;-;38.4;0.0;3186688;5632000;3186688;5636096;699594;4226;279;18;0;12288;2;0;/data/work/c2/fc85276b085ac5d90678987a995783;-;-
1;cpu14;04/4ef5d8;nf-044ef5d8a375d14a7f5ece865a5f0e15;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669685304393;1669685312000;1669685312000;7607;28;-;55.7;0.0;2924544;4071424;2924544;4079616;99313;5101;261;18;0;16384;3;0;/data/work/04/4ef5d8a375d14a7f5ece865a5f0e15;-;-
9;node10;5c/3db870;nf-5c3db870df45c03cadf23421040435b2;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669685304431;1669685310000;1669685312000;7569;1000;-;4.5;0.0;2916352;11567104;2916352;11571200;93068;9837;158;413;0;24576;2;1;/data/work/5c/3db870df45c03cadf23421040435b2;-;-
5;node8;6d/f463ea;nf-6df463ea457e34af4d80f11865bc1e0f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669685304135;1669685311000;1669685312000;7865;708;-;73.7;0.0;3096576;4071424;3096576;4079616;96380564;110259113;7211;7089;0;55144448;2;0;/data/work/6d/f463ea457e34af4d80f11865bc1e0f;-;-
6;cpu05;a8/41a56e;nf-a841a56e96f73d12a5886f1bc06190c9;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669685304221;1669685314000;1669685314000;9779;85;-;85.9;0.0;3076096;4071424;3076096;4079616;10375204;18316763;1442;1206;0;9179136;2;0;/data/work/a8/41a56e96f73d12a5886f1bc06190c9;-;-
2;node8;96/1933fd;nf-961933fdc9dcc7a448cf81a086864976;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669685304258;1669685313000;1669685314000;9742;1000;-;33.8;0.0;3260416;5632000;3260416;5636096;711826;1382;279;18;0;12288;2;0;/data/work/96/1933fdc9dcc7a448cf81a086864976;-;-
7;cpu05;24/4c37ee;nf-244c37ee52e7646a382b28e9f06aa644;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669685304324;1669685313000;1669685314000;9676;1000;-;15.8;0.0;41222144;151281664;41222144;218169344;247704;58071;363;45;0;110592;18;6;/data/work/24/4c37ee52e7646a382b28e9f06aa644;-;-
10;cpu05;38/cfdf17;nf-38cfdf17b2aa5cf4ccd935cbc1d7b72a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669685315096;1669685320000;1669685324000;8904;3000;-;30.9;0.0;69632000;16154652672;69632000;16221605888;18768398;17067;4359;169;0;90112;14;2;/data/work/38/cfdf17b2aa5cf4ccd935cbc1d7b72a;-;-
15;node8;f8/3eb4e2;nf-f83eb4e2f212cb7dda99f65ceb274bbf;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669685320002;1669685328000;1669685329000;8998;255;-;11.4;0.0;2973696;4071424;2973696;4079616;5892032;5804643;247;19;0;5812224;2;2;/data/work/f8/3eb4e2f212cb7dda99f65ceb274bbf;-;-
21;cpu05;ca/4ed266;nf-ca4ed266a9e7efc6afed32c8fccb1175;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE4_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE4_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669685320190;1669685325000;1669685330000;9810;5000;-;114.0;0.9;1191067648;1404436480;1191067648;1471549440;25718662;6292822;210;710;0;6311936;18;403;/data/work/ca/4ed266a9e7efc6afed32c8fccb1175;-;-
22;cpu14;78/aaee9c;nf-78aaee9c2347b8c0fce8d92f281adbc2;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669685320255;1669685325000;1669685331000;10745;5000;-;224.5;0.3;366477312;4640055296;367931392;4666916864;27702749;4901386;25901;13395;0;5423104;10;7;/data/work/78/aaee9c2347b8c0fce8d92f281adbc2;-;-
30;cpu14;b0/3152ef;nf-b03152efcd9df99949de4ac2670bcec7;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE8_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE8_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669685320443;1669685327000;1669685332000;11557;5000;-;105.6;0.0;59936768;65269760;59936768;65273856;25718677;6292822;210;710;0;6316032;14;353;/data/work/b0/3152efcd9df99949de4ac2670bcec7;-;-
16;cpu14;49/157ef5;nf-49157ef5a8678c0db2692bef8493a790;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE1_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669685320068;1669685330000;1669685334000;13932;4000;-;120.0;0.9;1279311872;1807089664;1279311872;1874202624;25718677;6292822;210;710;0;6316032;15;390;/data/work/49/157ef5a8678c0db2692bef8493a790;-;-
