task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
9;node8;8e/68fb76;nf-8e68fb7609678a0c4c43bc4f50c2da6e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669768345164;1669768352000;1669768353000;7836;168;-;16.8;0.0;2998272;4071424;2998272;4079616;99076;5092;261;18;0;16384;2;2;/data/work/8e/68fb7609678a0c4c43bc4f50c2da6e;-;-
1;cpu05;a7/49e702;nf-a749e702d8c1352525528a1bd63be609;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669768345209;1669768353000;1669768353000;7791;0;-;68.8;0.0;3219456;5632000;3219456;5636096;144312;4978;238;20;0;16384;2;2;/data/work/a7/49e702d8c1352525528a1bd63be609;-;-
8;node10;b8/167191;nf-b81671915f82c80716137ca10191b7b7;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669768345247;1669768353000;1669768353000;7753;476;-;107.1;0.0;3076096;4071424;3076096;4079616;96380791;110259123;7211;7089;0;55144448;2;0;/data/work/b8/1671915f82c80716137ca10191b7b7;-;-
5;node10;52/66f115;nf-5266f11594c4c43be972c529a1353d26;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669768345324;1669768351000;1669768352000;6676;1000;-;32.3;0.0;3317760;5632000;3317760;5636096;712051;1391;280;18;0;12288;2;0;/data/work/52/66f11594c4c43be972c529a1353d26;-;-
4;node8;38/5ac934;nf-385ac934ee131825ca485971870b29f5;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669768345355;1669768351000;1669768353000;7645;2000;-;15.7;0.0;41246720;151281664;41246720;218169344;247483;58061;362;45;0;110592;18;6;/data/work/38/5ac934ee131825ca485971870b29f5;-;-
2;cpu14;ac/17ff47;nf-ac17ff471dcaccb10b49d1ddafadcef3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669768345391;1669768353000;1669768353000;7609;0;-;42.0;0.0;3244032;5632000;3244032;5636096;699612;4226;279;18;0;12288;2;0;/data/work/ac/17ff471dcaccb10b49d1ddafadcef3;-;-
3;cpu14;75/e7a91d;nf-75e7a91dd596e1007d9e7c1e5356049f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669768345426;1669768354000;1669768354000;8574;90;-;90.3;0.0;2953216;4071424;2953216;4079616;10375221;18316763;1442;1206;0;9179136;2;1;/data/work/75/e7a91dd596e1007d9e7c1e5356049f;-;-
6;cpu05;5b/2e9d04;nf-5b2e9d04167876f82cc22bbf7db9859a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669768345462;1669768354000;1669768355000;9538;0;-;43.0;0.0;2879488;11567104;2879488;11571200;93070;9838;158;413;0;24576;2;0;/data/work/5b/2e9d04167876f82cc22bbf7db9859a;-;-
7;node10;97/556d78;nf-97556d7813cc046f6bac5d0a790ae289;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669768345287;1669768354000;1669768355000;9713;1000;-;130.2;0.0;3248128;5632000;3248128;5636096;1886749;8721321;594;3047;0;8810496;2;0;/data/work/97/556d7813cc046f6bac5d0a790ae289;-;-
15;cpu14;38/6b2b47;nf-386b2b471d86cdaea66b0f27289c1174;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669768356139;1669768359000;1669768362000;5861;2000;-;108.1;0.0;51773440;58613760;51773440;58617856;9866749;2508309;195;419;0;2523136;15;109;/data/work/38/6b2b471d86cdaea66b0f27289c1174;-;-
10;node8;8b/9cdc78;nf-8b9cdc78639863b639d783682f820193;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669768355786;1669768365000;1669768367000;11214;2000;-;58.5;0.0;69976064;16222814208;70066176;16222818304;18769936;17058;4363;169;0;122880;14;8;/data/work/8b/9cdc78639863b639d783682f820193;-;-
11;node10;37/386ef6;nf-37386ef6d1d6c5b7be4b5cf3cd99489e;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669768356200;1669768363000;1669768366000;9800;2000;-;110.3;0.6;847691776;1138339840;847691776;1138343936;13502813;3290772;194;421;0;3305472;10;201;/data/work/37/386ef6d1d6c5b7be4b5cf3cd99489e;-;-
14;node10;62/90f78b;nf-6290f78b12a4c21494af16c451b8b0e1;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669768356232;1669768361000;1669768368000;11768;5000;-;163.5;0.2;263065600;4569796608;265027584;4629184512;23492288;2424777;16367;6669;0;2703360;13;4;/data/work/62/90f78b12a4c21494af16c451b8b0e1;-;-
13;cpu05;ff/e6f830;nf-ffe6f830d39240443e64d555d2bc98d1;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669768356266;1669768364000;1669768364000;7734;51;-;50.8;0.0;3055616;4071424;3055616;4079616;5892261;5804652;247;19;0;5812224;3;0;/data/work/ff/e6f830d39240443e64d555d2bc98d1;-;-
19;cpu14;52/e7c860;nf-52e7c860d47acbc4e75d8aa47096ff18;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE2_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE2_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669768356331;1669768362000;1669768368000;11669;5000;-;223.6;0.3;350224384;4635860992;350281728;4695248896;27700911;4901381;25823;13441;0;5447680;17;9;/data/work/52/e7c860d47acbc4e75d8aa47096ff18;-;-
26;cpu05;f2/356936;nf-f2356936719a4d09b457a86428d83c5f;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE7_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE7_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669768356587;1669768361000;1669768365000;8413;3000;-;172.6;0.2;308125696;4571893760;313569280;4627087360;23490278;2424730;16368;6669;0;2727936;12;2;/data/work/f2/356936719a4d09b457a86428d83c5f;-;-
29;node8;33/f8c220;nf-33f8c2206f6f310fb9d1e898398afccd;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE7_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE7_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669768356719;1669768367000;1669768369000;12281;2000;-;107.4;0.0;51777536;58613760;51777536;58617856;9866502;2508286;194;419;0;2523136;11;101;/data/work/33/f8c2206f6f310fb9d1e898398afccd;-;-
12;cpu14;66/7adcd1;nf-667adcd18d4d2e64d09e13fa57431b23;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669768356168;1669768366000;1669768371000;14832;4000;-;194.3;0.2;302215168;4571893760;306601984;4627087360;24397528;2423904;18135;6677;0;2711552;8;6;/data/work/66/7adcd18d4d2e64d09e13fa57431b23;-;-
23;cpu05;ea/6cc6f3;nf-ea6cc6f3b2a8ff6125c4e4e88b76a3a4;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669768356490;1669768367000;1669768371000;14510;3000;-;199.1;0.2;298602496;4571893760;300576768;4627087360;24397526;2423858;18137;6700;0;2732032;8;1;/data/work/ea/6cc6f3b2a8ff6125c4e4e88b76a3a4;-;-
24;node10;ad/af0fc4;nf-adaf0fc4e25ad71901ab4f3479dc8300;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669768356523;1669768369000;1669768373000;16477;4000;-;111.6;0.1;96636928;1132630016;96636928;1132634112;18707424;4951057;209;710;0;4972544;12;271;/data/work/ad/af0fc4e25ad71901ab4f3479dc8300;-;-
25;node8;17/7c23a7;nf-177c23a76302062aecdf8126878e8749;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669768356629;1669768368000;1669768371000;14371;3000;-;98.6;0.0;58429440;64593920;58429440;64598016;13502584;3290748;194;421;0;3309568;10;166;/data/work/17/7c23a76302062aecdf8126878e8749;-;-
18;node8;08/9a001d;nf-089a001db2f9ef21625ad88d8070b09a;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE2_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE2_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669768356362;1669768370000;1669768373000;16638;3000;-;113.8;0.3;380792832;1132630016;380792832;1132634112;18707207;4951048;209;710;0;4976640;12;288;/data/work/08/9a001db2f9ef21625ad88d8070b09a;-;-
22;cpu05;49/319928;nf-4931992804e057582d49738eec43496c;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669768356459;1669768371000;1669768376000;19541;4000;-;232.3;0.3;369180672;4640055296;369352704;4666916864;27865217;4901384;25949;13487;0;5373952;10;1;/data/work/49/31992804e057582d49738eec43496c;-;-
32;cpu14;41/8f2bf2;nf-418f2bf2b84aa4cdcdab218d2b8ab730;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_TRIM (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669768365982;1669768373000;1669768378000;12018;4000;-;191.6;0.2;307290112;4571893760;312111104;4629184512;23206040;2358826;15903;6576;0;2691072;7;5;/data/work/41/8f2bf2b84aa4cdcdab218d2b8ab730;-;-
34;node10;fb/43f792;nf-fb43f792ba4cc4c142fbbbc3b2b127b3;NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-5799ab18b5fc681e75923b2450abaa969907ec98:87fc08d11968d081f3e8a37131c1f1f6715b6542-0;6;21600000;-;53687091200;1;1669768366017;1669768373000;1669768374000;7983;1000;-;266.0;0.0;10502144;16465920;10502144;16470016;82595556;16758855;844;160;0;16781312;4;3;/data/work/fb/43f792ba4cc4c142fbbbc3b2b127b3;-;-
33;cpu14;68/4e48b1;nf-684e48b19ca966266b07a8bd7e2165cb;NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-ac74a7f02cebcfcc07d8e8d1d750af9c83b4d45a:1744f68fe955578c63054b55309e05b41c37a80d-0;6;21600000;-;53687091200;1;1669768366045;1669768376000;1669768379000;12955;3000;-;529.3;0.1;108384256;1178841088;108384256;1267650560;26839551;17485548;1655;2423;0;2334720;296;21;/data/work/68/4e48b19ca966266b07a8bd7e2165cb;-;-
