task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;node8;e2/05c91c;nf-e205c91c1c77f41496880990ce3a3e77;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669726654961;1669726663000;1669726663000;8039;0;-;18.1;0.0;3244032;5632000;3244032;5636096;711835;1382;279;18;0;12288;2;0;/data/work/e2/05c91c1c77f41496880990ce3a3e77;-;-
8;node8;9b/888431;nf-9b888431eb637bf1061cec7393c00799;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669726654994;1669726663000;1669726664000;9006;753;-;69.8;0.0;2994176;4071424;2994176;4079616;96380572;110259113;7203;7089;0;55144448;2;1;/data/work/9b/888431eb637bf1061cec7393c00799;-;-
1;cpu05;72/0722fb;nf-720722fb1073e97c80af1954d153216b;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669726655028;1669726659000;1669726660000;4972;0;-;43.0;0.0;2949120;11567104;2949120;11571200;93069;9838;158;413;0;24576;4;0;/data/work/72/0722fb1073e97c80af1954d153216b;-;-
2;cpu05;6b/993405;nf-6b993405afd5e4c8d967a8f377d041c2;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669726655099;1669726660000;1669726662000;6901;1000;-;2.5;0.0;3256320;5632000;3256320;5636096;144311;4977;238;20;0;16384;2;3;/data/work/6b/993405afd5e4c8d967a8f377d041c2;-;-
9;node10;df/980958;nf-df980958b8d13ef1898573a52a52b313;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669726654801;1669726663000;1669726663000;8199;0;-;63.0;0.0;3330048;5632000;3330048;5636096;699590;4226;279;18;0;12288;2;0;/data/work/df/980958b8d13ef1898573a52a52b313;-;-
6;node10;c1/8924d5;nf-c18924d5179a6075c4729d0766b3ad85;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669726654848;1669726666000;1669726666000;11152;27;-;79.3;0.0;2985984;4071424;2985984;4079616;99289;5101;261;18;0;16384;2;4;/data/work/c1/8924d5179a6075c4729d0766b3ad85;-;-
4;cpu14;28/67a732;nf-2867a7323398157de418c95c962cf4fc;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669726655062;1669726665000;1669726666000;10938;0;-;129.9;0.0;3260416;5632000;3260416;5636096;1886768;8721321;594;3045;0;8810496;2;2;/data/work/28/67a7323398157de418c95c962cf4fc;-;-
5;node10;d2/15d005;nf-d215d005a662f24103fe23f568c07a20;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669726654888;1669726666000;1669726673000;18112;7000;-;2.9;0.0;41644032;1159774208;41644032;1226661888;247697;58070;363;45;0;110592;63;67;/data/work/d2/15d005a662f24103fe23f568c07a20;-;-
3;cpu14;94/6d944d;nf-946d944d70ed50ce46678bceab6dc3d6;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669726654924;1669726666000;1669726667000;12076;881;-;10.1;0.0;2965504;4071424;2965504;4079616;10375219;18316763;1440;1206;0;9179136;2;0;/data/work/94/6d944d70ed50ce46678bceab6dc3d6;-;-
25;node8;d8/43b0c6;nf-d843b0c6c9fba0f69fb7a40ffbb52c9f;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE7_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE7_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669726665882;1669726672000;1669726674000;8118;2000;-;106.4;0.3;464879616;1715552256;1179795456;1746944000;9866501;2508286;194;419;0;2523136;16;177;/data/work/d8/43b0c6c9fba0f69fb7a40ffbb52c9f;-;-
