task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;cpu14;f9/e29410;nf-f9e294106ca05c54dbebd08da3eaf50f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669707748759;1669707754000;1669707755000;6241;1000;-;54.0;0.0;3305472;5632000;3305472;5636096;1886767;8721320;594;3047;0;8810496;2;0;/data/work/f9/e294106ca05c54dbebd08da3eaf50f;-;-
7;node10;c8/928800;nf-c8928800ed45e7526f2225bad46ee622;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669707748889;1669707754000;1669707754000;5111;0;-;20.3;0.0;3362816;5632000;3362816;5636096;699594;4226;279;18;0;12288;2;2;/data/work/c8/928800ed45e7526f2225bad46ee622;-;-
3;node10;07/8a0277;nf-078a0277ec678be4814276ab31964aa1;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669707748929;1669707755000;1669707756000;7071;0;-;19.2;0.0;2924544;11567104;2924544;11571200;93069;9838;158;413;0;24576;2;0;/data/work/07/8a0277ec678be4814276ab31964aa1;-;-
2;cpu14;b9/7eaedb;nf-b97eaedb0d13d2d8fb1799bc45002d41;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669707749001;1669707753000;1669707753000;3999;98;-;93.6;0.0;2990080;4071424;2990080;4079616;10375220;18316764;1442;1206;0;9179136;7;0;/data/work/b9/7eaedb0d13d2d8fb1799bc45002d41;-;-
1;cpu05;27/93c552;nf-2793c552ef15658ae462ab3d00f2376e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669707749040;1669707754000;1669707754000;4960;247;-;11.8;0.0;2985984;4071424;2985984;4079616;99296;5101;261;18;0;16384;2;2;/data/work/27/93c552ef15658ae462ab3d00f2376e;-;-
4;cpu05;71/4686f6;nf-714686f6c6b658566d5d503dea288e6f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669707749074;1669707754000;1669707756000;6926;2000;-;15.4;0.0;3235840;5632000;3235840;5636096;247706;58071;363;45;0;110592;4;1;/data/work/71/4686f6c6b658566d5d503dea288e6f;-;-
9;node8;bc/1ed01b;nf-bc1ed01b5b59a7ffb10a63ea3049be86;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669707748810;1669707759000;1669707760000;11190;0;-;68.4;0.0;3280896;5632000;3280896;5636096;144087;4969;237;20;0;16384;2;0;/data/work/bc/1ed01b5b59a7ffb10a63ea3049be86;-;-
5;node8;3c/8a0a8f;nf-3c8a0a8f6d98605ee4debb4fdfe60092;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669707748852;1669707762000;1669707763000;14148;480;-;106.1;0.0;2916352;4071424;2916352;4079616;96380567;110259114;7211;7089;0;55144448;2;0;/data/work/3c/8a0a8f6d98605ee4debb4fdfe60092;-;-
6;node8;59/621229;nf-59621229ea3652c2e68ae7866c302a01;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669707748966;1669707760000;1669707760000;11034;0;-;62.3;0.0;3203072;5632000;3203072;5636096;711829;1382;279;18;0;12288;2;2;/data/work/59/621229ea3652c2e68ae7866c302a01;-;-
10;cpu05;5e/454833;nf-5e4548336e3251a5d0f795993b236bec;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669707760171;1669707762000;1669707764000;3829;1000;-;63.1;0.0;70017024;16222814208;70107136;16289927168;18768454;17067;4365;169;0;90112;24;19;/data/work/5e/4548336e3251a5d0f795993b236bec;-;-
