task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;cpu05;89/314c90;nf-89314c905f32b6c3297b85f852942be4;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669734656432;1669734659000;1669734659000;2568;0;-;120.9;0.0;3284992;5632000;3284992;5636096;1886751;8721321;595;3047;0;8810496;4;0;/data/work/89/314c905f32b6c3297b85f852942be4;-;-
4;node8;e2/884913;nf-e28849137d00cc10bd354fc3c5af28c0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669734656677;1669734664000;1669734664000;7323;73;-;37.1;0.0;3067904;4071424;3067904;4079616;99075;5092;261;18;0;16384;2;2;/data/work/e2/8849137d00cc10bd354fc3c5af28c0;-;-
9;cpu14;ce/28fa48;nf-ce28fa483dd50f49c189e21f3d28d0d3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669734656476;1669734665000;1669734665000;8524;0;-;31.3;0.0;3321856;5632000;3321856;5636096;699612;4226;279;18;0;12288;4;0;/data/work/ce/28fa483dd50f49c189e21f3d28d0d3;-;-
1;node10;7d/15f097;nf-7d15f097361446f4bb3d8ff47087eb59;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669734656513;1669734663000;1669734664000;7487;479;-;109.5;0.0;3051520;4071424;3051520;4079616;96380789;110259123;7210;7089;0;55144448;2;1;/data/work/7d/15f097361446f4bb3d8ff47087eb59;-;-
5;node8;7d/cc5178;nf-7dcc51780541fbfb5d137d254ca2f216;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669734656550;1669734664000;1669734665000;8450;0;-;36.2;0.0;2879488;11567104;2879488;11571200;92850;9829;157;413;0;24576;2;2;/data/work/7d/cc51780541fbfb5d137d254ca2f216;-;-
6;node10;6c/5f618f;nf-6c5f618f217506aad3cfe9fe84ebc000;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669734656578;1669734663000;1669734664000;7422;0;-;66.1;0.0;3231744;5632000;3231744;5636096;712050;1391;280;18;0;12288;2;0;/data/work/6c/5f618f217506aad3cfe9fe84ebc000;-;-
2;node10;1e/658442;nf-1e6584425ae703aaa1013e9d98bc3b23;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669734656614;1669734664000;1669734666000;9386;2000;-;10.7;0.0;36126720;1159774208;36126720;1226661888;247699;58070;363;45;0;110592;63;8;/data/work/1e/6584425ae703aaa1013e9d98bc3b23;-;-
3;cpu14;76/fe1650;nf-76fe1650ce37fae0075e6ce80347f34e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669734656647;1669734668000;1669734668000;11353;0;-;22.3;0.0;3223552;5632000;3223552;5636096;144329;4978;238;20;0;16384;2;0;/data/work/76/fe1650ce37fae0075e6ce80347f34e;-;-
8;cpu14;27/cd05b5;nf-27cd05b540edb92756e3d944bed1330e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669734656708;1669734668000;1669734669000;12292;213;-;40.9;0.0;2945024;4071424;2945024;4079616;10375220;18316763;1442;1206;0;9179136;2;3;/data/work/27/cd05b540edb92756e3d944bed1330e;-;-
10;node8;a8/13e8a7;nf-a813e8a7377e050ff1f4eb6ece66686c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669734665647;1669734669000;1669734670000;4353;1000;-;58.5;0.0;69767168;16222814208;69857280;16222818304;18769868;17058;4356;169;0;90112;25;18;/data/work/a8/13e8a7377e050ff1f4eb6ece66686c;-;-
16;node8;fd/fb33d4;nf-fdfb33d490abe24cee365124371a49dc;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669734670811;1669734675000;1669734677000;6189;2000;-;107.9;0.0;51666944;58613760;51666944;58617856;9866513;2508300;193;419;0;2523136;15;99;/data/work/fd/fb33d490abe24cee365124371a49dc;-;-
12;cpu14;a8/dd85d6;nf-a8dd85d6a89abf570d31289a6d17fd6d;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669734670840;1669734676000;1669734678000;7160;2000;-;109.3;0.5;740835328;1138339840;740835328;1138343936;13502832;3290772;195;421;0;3305472;15;200;/data/work/a8/dd85d6a89abf570d31289a6d17fd6d;-;-
