task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;cpu05;8b/91c381;nf-8b91c381a5420029a8f32e3e73b7b8d6;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669722716533;1669722722000;1669722722000;5467;0;-;46.5;0.0;3178496;5632000;3178496;5636096;699594;4226;279;18;0;12288;2;0;/data/work/8b/91c381a5420029a8f32e3e73b7b8d6;-;-
2;cpu05;f3/b0f336;nf-f3b0f336bd56de56ce35081cac326600;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669722716580;1669722721000;1669722721000;4420;90;-;90.9;0.0;3031040;4071424;3031040;4079616;10375203;18316763;1442;1206;0;9179136;6;0;/data/work/f3/b0f336bd56de56ce35081cac326600;-;-
3;node8;9c/dc235a;nf-9cdc235ad18ac9c737221ad24177f5fe;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669722716667;1669722723000;1669722724000;7333;0;-;21.6;0.0;3325952;5632000;3325952;5636096;144093;4969;237;20;0;16384;2;0;/data/work/9c/dc235ad18ac9c737221ad24177f5fe;-;-
1;node10;f2/53b34a;nf-f253b34aed697e7d53a840292e5c310a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669722716738;1669722726000;1669722727000;10262;1000;-;123.0;0.0;3260416;5632000;3260416;5636096;1886749;8721321;594;3045;0;8810496;2;3;/data/work/f2/53b34aed697e7d53a840292e5c310a;-;-
6;node8;9c/89835c;nf-9c89835c6e6159a2bfbb128a4d8d5bd3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669722716776;1669722722000;1669722722000;5224;76;-;35.0;0.0;3047424;4071424;3047424;4079616;99075;5092;261;18;0;16384;2;2;/data/work/9c/89835c6e6159a2bfbb128a4d8d5bd3;-;-
9;node10;00/ca1875;nf-00ca187574a34ccfd779a77566c95efb;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669722716844;1669722726000;1669722726000;9156;0;-;76.2;0.0;3244032;5632000;3244032;5636096;712052;1391;280;18;0;12288;2;2;/data/work/00/ca187574a34ccfd779a77566c95efb;-;-
7;cpu14;ef/dd11e1;nf-efdd11e169ddf803db98d6a13887b39e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669722716624;1669722727000;1669722728000;11376;0;-;19.5;0.0;2760704;11567104;2760704;11571200;93086;9838;158;413;0;24576;2;0;/data/work/ef/dd11e169ddf803db98d6a13887b39e;-;-
5;cpu14;c8/28bd18;nf-c828bd18918c75f92581632a92e0ab25;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669722716702;1669722726000;1669722727000;10298;1167;-;51.2;0.0;7335936;11599872;7335936;11616256;96380808;110259122;7209;7089;0;55144448;1431;33;/data/work/c8/28bd18918c75f92581632a92e0ab25;-;-
4;node8;3d/044f4b;nf-3d044f4b1ef49a0fc3eed002c5a69294;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669722716811;1669722725000;1669722728000;11189;2000;-;10.6;0.0;41029632;1159774208;41029632;1226661888;247484;58062;362;45;0;110592;61;15;/data/work/3d/044f4b1ef49a0fc3eed002c5a69294;-;-
16;node10;b5/3771f6;nf-b53771f65cc7e02192517d8eef9fc1e6;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669722727782;1669722731000;1669722731000;3218;70;-;50.2;0.0;2957312;4071424;2957312;4079616;5892258;5804652;247;19;0;5812224;2;3;/data/work/b5/3771f65cc7e02192517d8eef9fc1e6;-;-
