task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu14;5f/30b87a;nf-5f30b87ac50f4ef061dca9840f0890cf;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669681550634;1669681558000;1669681559000;8366;0;-;80.3;0.0;3166208;5632000;3166208;5636096;699613;4226;279;18;0;12288;2;0;/data/work/5f/30b87ac50f4ef061dca9840f0890cf;-;-
1;node10;71/5a8f70;nf-715a8f703f2415337e1a3bf0d63513eb;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669681550469;1669681559000;1669681559000;8531;68;-;37.9;0.0;2973696;4071424;2973696;4079616;99295;5101;261;18;0;16384;2;2;/data/work/71/5a8f703f2415337e1a3bf0d63513eb;-;-
7;cpu05;0d/081686;nf-0d081686577221523b3416e15f895e78;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669681550559;1669681560000;1669681563000;12441;3000;-;7.8;0.0;36163584;1159774208;36163584;1226661888;247704;58070;363;45;0;110592;67;69;/data/work/0d/081686577221523b3416e15f895e78;-;-
3;node8;d9/dcb027;nf-d9dcb02741bb5bf362f95dac96516725;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669681550599;1669681562000;1669681563000;12401;687;-;12.9;0.0;3047424;4071424;3047424;4079616;10374973;18316754;1442;1206;0;9179136;2;0;/data/work/d9/dcb02741bb5bf362f95dac96516725;-;-
9;node10;f5/fe521b;nf-f5fe521bd1f2cda187bda751cadfd607;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669681550665;1669681561000;1669681562000;11335;1000;-;10.5;0.0;3330048;5632000;3330048;5636096;144312;4978;238;20;0;16384;2;0;/data/work/f5/fe521bd1f2cda187bda751cadfd607;-;-
6;node10;9e/4dba2b;nf-9e4dba2bdd7052f022220014cb981bea;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669681550705;1669681560000;1669681560000;9295;0;-;80.0;0.0;3391488;5632000;3391488;5636096;712054;1391;280;18;0;12288;2;3;/data/work/9e/4dba2bdd7052f022220014cb981bea;-;-
8;node10;af/2951dc;nf-af2951dcda2004a0424f442c9017a334;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669681550781;1669681559000;1669681560000;9219;495;-;107.5;0.0;3043328;4071424;3043328;4079616;96380793;110259123;7209;7089;0;55144448;2;2;/data/work/af/2951dcda2004a0424f442c9017a334;-;-
5;node8;96/e4f81c;nf-96e4f81cd6692fbf15b9e88f51f164f0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669681550744;1669681565000;1669681566000;15256;1000;-;87.8;0.0;3284992;5632000;3284992;5636096;1886521;8721311;594;3047;0;8810496;2;1;/data/work/96/e4f81cd6692fbf15b9e88f51f164f0;-;-
2;node8;82/eb9a78;nf-82eb9a78b143783ef6403a79704f9966;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669681550521;1669681565000;1669681567000;16479;1000;-;17.9;0.0;2895872;11567104;2895872;11571200;92840;9829;157;413;0;24576;2;0;/data/work/82/eb9a78b143783ef6403a79704f9966;-;-
10;node8;13/637e48;nf-13637e48db783749eb81e173b712b253;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669681566095;1669681573000;1669681577000;10905;3000;-;38.1;0.0;70205440;16222814208;70295552;16222818304;18769867;17058;4357;169;0;114688;14;7;/data/work/13/637e48db783749eb81e173b712b253;-;-
13;cpu14;56/77d4ec;nf-5677d4ec365b551edcc871d964c5ccd2;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669681566440;1669681572000;1669681578000;11560;4000;-;182.2;0.2;299950080;4571893760;304218112;4627087360;23490123;2424780;16325;6669;0;2764800;8;7;/data/work/56/77d4ec365b551edcc871d964c5ccd2;-;-
12;cpu05;ae/c9fc66;nf-aec9fc667b45191de3ce51764a8ea2cd;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669681566508;1669681573000;1669681576000;9492;3000;-;109.7;0.5;743563264;1138339840;743563264;1138343936;13502818;3290772;194;421;0;3305472;10;208;/data/work/ae/c9fc667b45191de3ce51764a8ea2cd;-;-
15;node8;b6/069f5c;nf-b6069f5c6ef3faddcf3dc030add71fc7;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669681566537;1669681577000;1669681577000;10463;105;-;25.7;0.0;2965504;4071424;2965504;4079616;5892030;5804643;247;19;0;5812224;2;0;/data/work/b6/069f5c6ef3faddcf3dc030add71fc7;-;-
