task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;node10;67/7cdfa1;nf-677cdfa1cac9ea670cb4bd2e03eebeea;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669742122518;1669742130000;1669742131000;8482;476;-;107.2;0.0;2949120;4071424;2949120;4079616;96380789;110259123;7210;7089;0;55144448;2;2;/data/work/67/7cdfa1cac9ea670cb4bd2e03eebeea;-;-
6;node10;cd/0eadae;nf-cd0eadaefabf9851c16f1bbc326022db;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669742122675;1669742130000;1669742130000;7325;93;-;77.3;0.0;2990080;4071424;2990080;4079616;10375199;18316763;1441;1206;0;9179136;2;0;/data/work/cd/0eadaefabf9851c16f1bbc326022db;-;-
9;cpu05;7a/71aa67;nf-7a71aa672f2729ccded9fed2dcc1ef86;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669742122752;1669742127000;1669742127000;4248;0;-;62.7;0.0;3317760;5632000;3317760;5636096;712054;1391;280;18;0;12288;5;0;/data/work/7a/71aa672f2729ccded9fed2dcc1ef86;-;-
3;cpu05;c3/16e059;nf-c316e0598461feeb8006f59a513d7504;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669742122788;1669742128000;1669742130000;7212;1000;-;4.3;0.0;3211264;5632000;3211264;5636096;699594;4225;279;18;0;12288;2;0;/data/work/c3/16e0598461feeb8006f59a513d7504;-;-
1;node10;e9/f2f31f;nf-e9f2f31f9f21fd7d27102e6bd5da97ca;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669742122561;1669742129000;1669742131000;8439;1000;-;2.6;0.0;2916352;11567104;2916352;11571200;93064;9837;158;413;0;24576;2;0;/data/work/e9/f2f31f9f21fd7d27102e6bd5da97ca;-;-
4;node8;31/72eb08;nf-3172eb08192fcda5ef891c3dfa7786e6;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669742122599;1669742133000;1669742134000;11401;1000;-;107.1;0.0;3272704;5632000;3272704;5636096;1886532;8721312;594;3048;0;8810496;4;1;/data/work/31/72eb08192fcda5ef891c3dfa7786e6;-;-
7;cpu14;c3/e1a09b;nf-c3e1a09b115c4efdd010fa106b798680;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669742122713;1669742133000;1669742133000;10287;0;-;72.3;0.0;3293184;5632000;3293184;5636096;144329;4978;238;20;0;16384;2;3;/data/work/c3/e1a09b115c4efdd010fa106b798680;-;-
2;cpu14;93/9de321;nf-939de321f85b5af56a512ff83fa57fd4;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669742122637;1669742134000;1669742136000;13363;1000;-;14.6;0.0;41103360;151281664;41103360;218169344;247720;58070;363;45;0;110592;18;11;/data/work/93/9de321f85b5af56a512ff83fa57fd4;-;-
8;node8;51/7b1025;nf-517b1025d22cae4a929c538d37e7ca37;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669742122825;1669742134000;1669742135000;12175;746;-;2.7;0.0;2936832;4071424;2936832;4079616;99075;5091;261;18;0;16384;2;2;/data/work/51/7b1025d22cae4a929c538d37e7ca37;-;-
12;node8;82/40a055;nf-8240a055f8c293926bec690fe5f49a57;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669742133489;1669742138000;1669742139000;5511;272;-;10.6;0.0;2961408;4071424;2961408;4079616;5892041;5804643;247;19;0;5812224;2;2;/data/work/82/40a055f8c293926bec690fe5f49a57;-;-
