task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
8;cpu14;56/dda2b0;nf-56dda2b0f32a92b46b492a7bbe88c5a2;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669719982213;1669719988000;1669719990000;7787;0;-;3.6;0.0;2867200;11567104;2867200;11571200;93085;9837;158;413;0;24576;2;2;/data/work/56/dda2b0f32a92b46b492a7bbe88c5a2;-;-
6;cpu05;7e/8661c7;nf-7e8661c75eab4e7cd6ccc8ddc714d125;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669719982335;1669719987000;1669719990000;7665;2000;-;11.7;0.0;41652224;1159774208;41652224;1226661888;247703;58070;363;45;0;110592;67;42;/data/work/7e/8661c75eab4e7cd6ccc8ddc714d125;-;-
9;cpu14;ef/f49d4a;nf-eff49d4aadb7a6f2102ac998f0bab9b7;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669719982376;1669719988000;1669719989000;6624;835;-;2.4;0.0;3108864;4071424;3108864;4079616;99311;5100;261;18;0;16384;2;2;/data/work/ef/f49d4aadb7a6f2102ac998f0bab9b7;-;-
7;cpu05;47/ab214d;nf-47ab214df21e76862d22a0388705ffe7;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669719982450;1669719988000;1669719989000;6550;0;-;15.0;0.0;3235840;5632000;3235840;5636096;144310;4978;238;20;0;16384;2;2;/data/work/47/ab214df21e76862d22a0388705ffe7;-;-
3;node10;c2/47c4b3;nf-c247c4b3957f1bb1030149ef2126788f;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669719982486;1669719989000;1669719990000;7514;1000;-;10.8;0.0;3395584;5632000;3395584;5636096;699593;4226;279;18;0;12288;2;0;/data/work/c2/47c4b3957f1bb1030149ef2126788f;-;-
4;node10;6d/e81ea8;nf-6de81ea8118383eb064d1b004cee898b;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669719982166;1669719990000;1669719992000;9834;0;-;55.5;0.0;3346432;5632000;3346432;5636096;712051;1391;280;18;0;12288;2;2;/data/work/6d/e81ea8118383eb064d1b004cee898b;-;-
1;node8;36/3637e2;nf-363637e263e7aea75219050666dd43c2;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669719982257;1669719994000;1669719994000;11743;192;-;44.8;0.0;2965504;4071424;2965504;4079616;10374982;18316754;1442;1206;0;9179136;2;2;/data/work/36/3637e263e7aea75219050666dd43c2;-;-
2;node8;fb/8ebbe6;nf-fb8ebbe6d77154726c1f94d55eea4b4d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669719982415;1669719993000;1669719994000;11585;1000;-;29.9;0.0;3170304;5632000;3170304;5636096;1886529;8721311;593;3047;0;8810496;2;0;/data/work/fb/8ebbe6d77154726c1f94d55eea4b4d;-;-
5;node10;10/267055;nf-1026705566bc3390f428acf007fd8384;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669719982514;1669719990000;1669719992000;9486;478;-;107.7;0.0;3002368;4071424;3002368;4079616;96380791;110259123;7205;7089;0;55144448;2;0;/data/work/10/26705566bc3390f428acf007fd8384;-;-
10;cpu14;12/3f520b;nf-123f520bfaea49e52c47a9d90362a3aa;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669719993050;1669719996000;1669719998000;4950;2000;-;60.5;0.0;70000640;16222814208;70090752;16222818304;18768446;17067;4363;169;0;90112;24;19;/data/work/12/3f520bfaea49e52c47a9d90362a3aa;-;-
