task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node8;50/5dab4d;nf-505dab4d023a28c4645ea9cdb63be28e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669729505346;1669729509000;1669729509000;3654;0;-;133.2;0.0;3166208;5632000;3166208;5636096;1886532;8721312;594;3046;0;8810496;6;0;/data/work/50/5dab4d023a28c4645ea9cdb63be28e;-;-
2;cpu14;32/d7e9d3;nf-32d7e9d387bc9c87f7382832eb1abe9b;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669729505236;1669729512000;1669729512000;6764;0;-;49.6;0.0;3301376;5632000;3301376;5636096;712070;1391;280;18;0;12288;2;2;/data/work/32/d7e9d387bc9c87f7382832eb1abe9b;-;-
3;cpu05;d0/23bc9d;nf-d023bc9d189fa70781acc43a828f64f3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669729505312;1669729513000;1669729514000;8688;643;-;79.5;0.0;2936832;4071424;2936832;4079616;96380792;110259122;7210;7089;0;55144448;2;0;/data/work/d0/23bc9d189fa70781acc43a828f64f3;-;-
5;cpu14;33/dae7d4;nf-33dae7d41a54daaebdb6f7822b06a353;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669729505385;1669729513000;1669729514000;8615;27;-;58.2;0.0;3022848;4071424;3022848;4079616;99312;5101;261;18;0;16384;2;0;/data/work/33/dae7d41a54daaebdb6f7822b06a353;-;-
8;cpu14;44/5c7fca;nf-445c7fca24eeed293e9e681cc3f06ab0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669729505496;1669729511000;1669729512000;6504;0;-;22.2;0.0;3280896;5632000;3280896;5636096;144329;4978;238;20;0;16384;2;2;/data/work/44/5c7fca24eeed293e9e681cc3f06ab0;-;-
6;cpu05;b1/89badc;nf-b189badcb582b05763f68a16f4df7acb;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669729505192;1669729516000;1669729516000;10808;0;-;91.0;0.0;3330048;5632000;3330048;5636096;699594;4226;279;18;0;12288;2;2;/data/work/b1/89badcb582b05763f68a16f4df7acb;-;-
4;node10;d0/43654c;nf-d043654c463bd529938a4e00462f4615;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669729505274;1669729513000;1669729515000;9726;2000;-;14.0;0.0;35561472;1159774208;35561472;1226661888;247699;58070;363;45;0;110592;67;41;/data/work/d0/43654c463bd529938a4e00462f4615;-;-
7;cpu05;72/c91685;nf-72c916859a5ff4a39db37eec77416eca;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669729505461;1669729516000;1669729516000;10539;77;-;93.8;0.0;3018752;4071424;3018752;4079616;10375203;18316763;1442;1206;0;9179136;4;3;/data/work/72/c916859a5ff4a39db37eec77416eca;-;-
9;cpu05;9f/0a2c4b;nf-9f0a2c4bd42b378ce774c89253fe8714;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669729505423;1669729514000;1669729516000;10577;1000;-;2.7;0.0;2904064;11567104;2904064;11571200;93066;9837;158;413;0;24576;2;1;/data/work/9f/0a2c4bd42b378ce774c89253fe8714;-;-
13;node8;de/dcc334;nf-dedcc3345476ae8aaf284366e3340e56;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669729516159;1669729524000;1669729524000;7841;98;-;27.7;0.0;2895872;4071424;2895872;4079616;5892041;5804643;247;19;0;5812224;2;2;/data/work/de/dcc3345476ae8aaf284366e3340e56;-;-
