task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;node10;93/5d4fbf;nf-935d4fbfdf3a7f145791a622bb6c6f4e;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669750417022;1669750424000;1669750424000;6978;0;-;46.7;0.0;3334144;5632000;3334144;5636096;712049;1391;280;18;0;12288;2;2;/data/work/93/5d4fbfdf3a7f145791a622bb6c6f4e;-;-
7;node8;44/bef8a8;nf-44bef8a8805441b87a5a2fcd64d5c51c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669750417137;1669750422000;1669750425000;7863;1000;-;3.4;0.0;2924544;11567104;2924544;11571200;92850;9828;157;413;0;24576;2;1;/data/work/44/bef8a8805441b87a5a2fcd64d5c51c;-;-
4;node8;46/e88f4d;nf-46e88f4d30e3acae87ea30dfc1654120;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669750417170;1669750422000;1669750424000;6830;1000;-;38.7;0.0;26193920;554143744;116502528;822587392;1886532;8721311;594;3047;0;8810496;177;106;/data/work/46/e88f4d30e3acae87ea30dfc1654120;-;-
5;node10;48/a5570d;nf-48a5570dc5a76d610f576fd110f21efd;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669750417275;1669750424000;1669750424000;6725;152;-;49.5;0.0;2887680;4071424;2887680;4079616;10375198;18316763;1442;1206;0;9179136;2;2;/data/work/48/a5570dc5a76d610f576fd110f21efd;-;-
2;cpu14;7f/a839d8;nf-7fa839d817433ac93ad9ca81f3a53018;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669750416976;1669750427000;1669750428000;11024;0;-;66.7;0.0;3301376;5632000;3301376;5636096;144328;4978;238;20;0;16384;2;0;/data/work/7f/a839d817433ac93ad9ca81f3a53018;-;-
9;node10;71/1b8024;nf-711b8024005bec58ad506925cdb97161;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669750417098;1669750425000;1669750427000;9902;829;-;63.7;0.0;2994176;4071424;2994176;4079616;96380788;110259122;7211;7089;0;55144448;2;0;/data/work/71/1b8024005bec58ad506925cdb97161;-;-
1;cpu05;77/344922;nf-773449228ec10a38584f8fec23fa21a7;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669750417241;1669750427000;1669750428000;10759;1000;-;70.8;0.0;3289088;5632000;3289088;5636096;699595;4226;279;18;0;12288;2;0;/data/work/77/3449228ec10a38584f8fec23fa21a7;-;-
8;cpu05;aa/279039;nf-aa279039b88f77825a51022d54477633;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669750417059;1669750429000;1669750429000;11941;34;-;68.6;0.0;3084288;4071424;3084288;4079616;99294;5101;261;18;0;16384;2;0;/data/work/aa/279039b88f77825a51022d54477633;-;-
6;cpu14;88/2ceeed;nf-882ceeedd7669695d24a56bba58418af;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669750417206;1669750429000;1669750430000;12794;1000;-;13.6;0.0;41390080;151281664;41390080;218169344;247721;58071;363;45;0;110592;18;9;/data/work/88/2ceeedd7669695d24a56bba58418af;-;-
12;node10;0d/1f50ef;nf-0d1f50ef94f411fd6f5d5a62db551741;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669750427673;1669750433000;1669750437000;9327;4000;-;70.9;0.0;58466304;64593920;58466304;64598016;13502811;3290771;195;421;0;3305472;11;157;/data/work/0d/1f50ef94f411fd6f5d5a62db551741;-;-
15;node8;9a/3569ad;nf-9a3569ade0d4cd5d682a33070f70c436;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669750427808;1669750439000;1669750439000;11192;59;-;46.4;0.0;3190784;4071424;3190784;4079616;5892041;5804643;247;19;0;5812224;2;2;/data/work/9a/3569ade0d4cd5d682a33070f70c436;-;-
16;cpu14;7a/eb9c3c;nf-7aeb9c3cd0c2a2a17caa44013753c768;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE1_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669750427905;1669750433000;1669750439000;11095;6000;-;90.2;0.0;60014592;65269760;60014592;65273856;25718675;6292821;210;710;0;6311936;15;537;/data/work/7a/eb9c3cd0c2a2a17caa44013753c768;-;-
22;cpu14;b3/0c959e;nf-b30c959e50c0066cedaf420231349067;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669750428019;1669750436000;1669750440000;11981;4000;-;116.9;0.7;901591040;1132630016;901591040;1132634112;18707443;4951057;210;710;0;4972544;14;291;/data/work/b3/0c959e50c0066cedaf420231349067;-;-
