task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
5;node10;89/7e1eed;nf-897e1eeda959fbe19ba087c70315aa08;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669773549763;1669773558000;1669773559000;9237;899;-;57.4;0.0;3121152;4071424;3121152;4079616;96380790;110259122;7210;7089;0;55144448;2;2;/data/work/89/7e1eeda959fbe19ba087c70315aa08;-;-
2;node8;4f/285e73;nf-4f285e73a4c4d7c15097bf00d7944f0c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669773549804;1669773559000;1669773559000;9196;0;-;105.8;0.0;3293184;5632000;3293184;5636096;1886533;8721312;594;3047;0;8810496;2;1;/data/work/4f/285e73a4c4d7c15097bf00d7944f0c;-;-
9;cpu14;70/85b0d1;nf-7085b0d14831c009ed7924bb5532cfd3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669773549843;1669773555000;1669773557000;7157;1060;-;1.9;0.0;3198976;4071424;3198976;4079616;99310;5100;261;18;0;16384;2;2;/data/work/70/85b0d14831c009ed7924bb5532cfd3;-;-
6;node8;e4/e3fd11;nf-e4e3fd11b531900c774c4b176c38c343;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669773549877;1669773559000;1669773559000;9123;123;-;60.8;0.0;3088384;4071424;3088384;4079616;10374984;18316754;1442;1206;0;9179136;2;2;/data/work/e4/e3fd11b531900c774c4b176c38c343;-;-
7;cpu14;4f/866e20;nf-4f866e20dc00ab82331c5019a6e9613d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669773549915;1669773556000;1669773558000;8085;1000;-;2.8;0.0;2924544;11567104;2924544;11571200;93084;9837;158;413;0;24576;2;1;/data/work/4f/866e20dc00ab82331c5019a6e9613d;-;-
3;cpu05;be/c594b2;nf-bec594b2b89c60efa7d1dd2d1066aab3;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669773549659;1669773560000;1669773560000;10341;0;-;34.4;0.0;3280896;5632000;3280896;5636096;144313;4978;238;20;0;16384;2;1;/data/work/be/c594b2b89c60efa7d1dd2d1066aab3;-;-
4;node10;35/c85ffe;nf-35c85ffed75c5725fb5fd1ff4d6c676b;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669773549707;1669773557000;1669773560000;10293;2000;-;12.8;0.0;35999744;1159774208;35999744;1226661888;247699;58071;363;45;0;110592;64;68;/data/work/35/c85ffed75c5725fb5fd1ff4d6c676b;-;-
8;node10;66/f05ef7;nf-66f05ef7a7b526f37154e3d9275a0832;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669773549955;1669773559000;1669773560000;10045;0;-;20.0;0.0;3215360;5632000;3215360;5636096;712051;1391;280;18;0;12288;2;0;/data/work/66/f05ef7a7b526f37154e3d9275a0832;-;-
1;cpu05;92/c0c6c2;nf-92c0c6c2c831b97d127bd2b99e1e4020;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669773549987;1669773560000;1669773561000;11013;0;-;51.8;0.0;3284992;5632000;3284992;5636096;699596;4226;279;18;0;12288;2;2;/data/work/92/c0c6c2c831b97d127bd2b99e1e4020;-;-
10;cpu14;8d/99bfcf;nf-8d99bfcfa9404b02011558fbafb7e5c6;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669773560824;1669773565000;1669773567000;6176;2000;-;37.5;0.0;69742592;16154652672;69742592;16221605888;18768452;17067;4363;169;0;90112;24;14;/data/work/8d/99bfcfa9404b02011558fbafb7e5c6;-;-
14;node8;4e/a1a824;nf-4ea1a8243d94c936e0c4265c7d1c50d6;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669773565713;1669773571000;1669773573000;7287;2000;-;107.8;0.0;51720192;58613760;51720192;58617856;9866514;2508300;194;419;0;2523136;14;98;/data/work/4e/a1a8243d94c936e0c4265c7d1c50d6;-;-
