task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;node8;3c/793a61;nf-3c793a616dc339b6def3abb2327c82e7;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669732076075;1669732084000;1669732084000;7925;33;-;69.6;0.0;3133440;4071424;3133440;4079616;99076;5092;261;18;0;16384;2;2;/data/work/3c/793a616dc339b6def3abb2327c82e7;-;-
7;node10;2c/f8b6fb;nf-2cf8b6fb13f95a803b84902d7666f724;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669732076161;1669732083000;1669732083000;6839;0;-;17.4;0.0;3276800;5632000;3276800;5636096;699591;4226;279;18;0;12288;2;2;/data/work/2c/f8b6fb13f95a803b84902d7666f724;-;-
8;cpu05;c4/ea6b31;nf-c4ea6b31d181654184de4bbeff9e2659;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669732076227;1669732082000;1669732083000;6773;1000;-;14.3;0.0;3190784;5632000;3190784;5636096;144311;4978;238;20;0;16384;2;1;/data/work/c4/ea6b31d181654184de4bbeff9e2659;-;-
2;node10;08/8bb43d;nf-088bb43dec1a2043670d7594d06a53d9;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669732076256;1669732084000;1669732084000;7744;121;-;91.4;0.0;3047424;4071424;3047424;4079616;10375200;18316764;1442;1206;0;9179136;4;0;/data/work/08/8bb43dec1a2043670d7594d06a53d9;-;-
4;cpu05;94/d6e126;nf-94d6e12616f067ca1f3cfc8fb3a62f7d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669732076323;1669732083000;1669732084000;7677;1000;-;14.6;0.0;41492480;151281664;41492480;218169344;247704;58071;363;45;0;110592;18;7;/data/work/94/d6e12616f067ca1f3cfc8fb3a62f7d;-;-
6;cpu14;a7/965a0f;nf-a7965a0f0ed23e60865d850f191f318d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669732076196;1669732086000;1669732087000;10804;518;-;100.8;0.0;3198976;4071424;3198976;4079616;96380809;110259123;7211;7089;0;55144448;2;3;/data/work/a7/965a0f0ed23e60865d850f191f318d;-;-
5;cpu05;a6/9fad9d;nf-a69fad9df1fdedbaa4a1f64954a3d33d;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669732076290;1669732084000;1669732087000;10710;0;-;75.6;0.0;2977792;11567104;2977792;11571200;93069;9838;158;413;0;24576;2;0;/data/work/a6/9fad9df1fdedbaa4a1f64954a3d33d;-;-
9;cpu14;17/5f8b18;nf-175f8b18cb72b9defc1d73f97c84801c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669732076355;1669732090000;1669732092000;15645;2000;-;30.3;0.0;3305472;5632000;3305472;5636096;1886767;8721320;595;3046;0;8814592;2;2;/data/work/17/5f8b18cb72b9defc1d73f97c84801c;-;-
10;cpu14;df/d3cddc;nf-dfd3cddca63670cbdee8a81a96bf00ad;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669732086748;1669732093000;1669732099000;12252;3000;-;37.6;0.0;70021120;16222814208;70111232;16222818304;18768486;17067;4367;169;0;90112;14;3;/data/work/df/d3cddca63670cbdee8a81a96bf00ad;-;-
1;cpu14;b4/57b252;nf-b457b252d9b0d4a93c432c60c700b8f6;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669732076124;1669732088000;1669732090000;13876;1000;-;8.8;0.0;3301376;5632000;3301376;5636096;712070;1390;280;18;0;12288;2;2;/data/work/b4/57b252d9b0d4a93c432c60c700b8f6;-;-
15;cpu14;02/2e6a1e;nf-022e6a1ef1b6625909fffdca5c08dee1;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669732153639;1669732162000;1669732167000;13361;4000;-;154.3;0.2;311664640;4577374208;311664640;4632715264;23489781;2424780;16295;6669;0;2703360;8;6;/data/work/02/2e6a1ef1b6625909fffdca5c08dee1;-;-
14;cpu05;02/600929;nf-026009293cc5f866fb0cb5a6bd7cebd0;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732153695;1669732164000;1669732166000;12305;2000;-;98.9;0.9;1177845760;1746939904;1177845760;1814052864;9866731;2508308;196;419;0;2523136;18;174;/data/work/02/6009293cc5f866fb0cb5a6bd7cebd0;-;-
16;node8;ba/c1e373;nf-bac1e373caa8baf4deefd7db921ea881;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE1_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE1_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732153891;1669732161000;1669732166000;12109;4000;-;118.8;0.9;1280053248;1874198528;1280053248;1941311488;25718446;6292813;209;710;0;6316032;15;390;/data/work/ba/c1e373caa8baf4deefd7db921ea881;-;-
21;cpu14;f1/731799;nf-f1731799ddb4ddce4b60e5b3ea557615;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE4_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE4_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732153980;1669732162000;1669732167000;13020;5000;-;104.7;0.0;59973632;65269760;59973632;65273856;25718677;6292822;210;710;0;6316032;14;344;/data/work/f1/731799ddb4ddce4b60e5b3ea557615;-;-
31;cpu14;22/cdb2af;nf-22cdb2af01d0f882385c2bda6ca9fd5d;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE9_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE9_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732154232;1669732161000;1669732164000;9768;3000;-;116.1;0.5;739078144;1132630016;739078144;1132634112;18707443;4951057;209;710;0;4972544;18;302;/data/work/22/cdb2af01d0f882385c2bda6ca9fd5d;-;-
29;node8;ce/fce62e;nf-cefce62ecd7fae5d5e7a51f6f06f57e3;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE8_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE8_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732154266;1669732159000;1669732165000;10734;4000;-;117.5;0.9;1277730816;1807089664;1277730816;1874202624;25718441;6292813;210;710;0;6311936;23;401;/data/work/ce/fce62ecd7fae5d5e7a51f6f06f57e3;-;-
11;node10;b5/d53431;nf-b5d53431bdcc1efe5e2ae55d0deaada9;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732153729;1669732168000;1669732171000;17271;3000;-;108.3;0.4;601325568;1138339840;601325568;1138343936;13502812;3290772;194;421;0;3305472;8;195;/data/work/b5/d53431bdcc1efe5e2ae55d0deaada9;-;-
12;node10;bf/23be17;nf-bf23be171734955ee8a577afb7d23f08;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ;SAMPLE3_SE;NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669732153763;1669732166000;1669732167000;13237;134;-;21.3;0.0;3112960;4071424;3112960;4079616;5892256;5804652;247;19;0;5812224;2;2;/data/work/bf/23be171734955ee8a577afb7d23f08;-;-
20;node10;e2/0ea161;nf-e20ea161c3154f1c7b798e4fafcab2b0;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE2_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE2_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732153859;1669732168000;1669732172000;18141;4000;-;115.3;0.4;510889984;1132630016;510889984;1132634112;18707422;4951057;209;710;0;4976640;13;292;/data/work/e2/0ea161c3154f1c7b798e4fafcab2b0;-;-
24;cpu05;4d/11e150;nf-4d11e1509d43ea9d4c0189025af705b8;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732154014;1669732165000;1669732169000;14986;4000;-;117.8;0.5;706727936;1132630016;706727936;1132634112;18707425;4951057;209;710;0;4972544;12;308;/data/work/4d/11e1509d43ea9d4c0189025af705b8;-;-
26;node8;2b/445554;nf-2b4455540048500c24e1fec776c1d63a;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW;SAMPLE7_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTQC_RAW (SAMPLE7_SE);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669732154081;1669732164000;1669732169000;14919;4000;-;164.2;0.2;295378944;4571893760;296620032;4627087360;23491733;2424722;16358;6669;0;2740224;8;6;/data/work/2b/4455540048500c24e1fec776c1d63a;-;-
28;node10;ba/fd2021;nf-bafd20219b309fe23e70d5a892b49abf;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE7_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE7_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732154116;1669732165000;1669732168000;13884;2000;-;104.4;0.9;1178406912;1654652928;1178423296;1746944000;9866716;2508295;195;419;0;2523136;19;180;/data/work/ba/fd20219b309fe23e70d5a892b49abf;-;-
25;cpu05;31/cf4c7a;nf-31cf4c7ab026cdc323b439e31baf347f;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE6_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE6_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732154148;1669732165000;1669732168000;13852;3000;-;108.9;0.5;699985920;1138339840;699985920;1138343936;13502803;3290758;195;421;0;3305472;10;208;/data/work/31/cf4c7ab026cdc323b439e31baf347f;-;-
