task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
7;cpu05;64/02dfb2;nf-6402dfb26615c82994d08b2ccf839311;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669732966754;1669732971000;1669732971000;4246;0;-;126.5;0.0;3252224;5632000;3252224;5636096;1886751;8721321;594;3046;0;8810496;6;0;/data/work/64/02dfb26615c82994d08b2ccf839311;-;-
5;node10;ba/9dd59a;nf-ba9dd59aa50689a894e69bff33416f06;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669732966607;1669732974000;1669732975000;8393;133;-;63.4;0.0;3031040;4071424;3031040;4079616;10375199;18316763;1442;1206;0;9179136;2;4;/data/work/ba/9dd59aa50689a894e69bff33416f06;-;-
3;node10;9a/ec71da;nf-9aec71da0c4dbdc509d24a2d11283689;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669732966645;1669732973000;1669732974000;7355;0;-;76.8;0.0;3366912;5632000;3366912;5636096;712050;1391;280;18;0;12288;2;2;/data/work/9a/ec71da0c4dbdc509d24a2d11283689;-;-
1;cpu05;b2/44b828;nf-b244b828dac3bed93c16fdcf13033c9a;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669732966681;1669732972000;1669732974000;7319;1000;-;3.2;0.0;2891776;11567104;2891776;11571200;93068;9837;158;413;0;24576;2;1;/data/work/b2/44b828dac3bed93c16fdcf13033c9a;-;-
2;node10;bb/a772cc;nf-bba772cc4b1fe2ee0a40e3642d70f591;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669732966718;1669732974000;1669732975000;8282;522;-;98.6;0.0;3194880;4071424;3194880;4079616;96380788;110259122;7211;7089;0;55144448;2;2;/data/work/bb/a772cc4b1fe2ee0a40e3642d70f591;-;-
4;node8;0e/bc519b;nf-0ebc519bdc18640a612a7c255bcae07c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669732966790;1669732975000;1669732976000;9210;0;-;9.7;0.0;3264512;5632000;3264512;5636096;144092;4968;237;20;0;16384;2;2;/data/work/0e/bc519bdc18640a612a7c255bcae07c;-;-
6;node8;6f/bfb678;nf-6fbfb6787b93ca5be8b7118f9a9ebe32;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669732966515;1669732975000;1669732976000;9485;1000;-;16.0;0.0;41308160;151281664;41308160;218169344;247483;58061;362;45;0;110592;18;15;/data/work/6f/bfb6787b93ca5be8b7118f9a9ebe32;-;-
8;cpu14;e0/da53b2;nf-e0da53b2a46713cb950a83d44cfc4cd0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669732966565;1669732980000;1669732980000;13435;0;-;78.4;0.0;3276800;5632000;3276800;5636096;699612;4226;279;18;0;12288;2;3;/data/work/e0/da53b2a46713cb950a83d44cfc4cd0;-;-
9;cpu14;46/22cc50;nf-4622cc5000315078eccc5ae69e229954;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669732966823;1669732978000;1669732980000;13177;37;-;43.2;0.0;2998272;4071424;2998272;4079616;99312;5101;261;18;0;16384;2;0;/data/work/46/22cc5000315078eccc5ae69e229954;-;-
27;node8;ab/f127ed;nf-abf127ed19b63202a617ce3d22091708;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE7_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE7_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732978241;1669732982000;1669732984000;5759;2000;-;108.3;0.0;51695616;58613760;51695616;58617856;9866501;2508286;194;419;0;2523136;15;109;/data/work/ab/f127ed19b63202a617ce3d22091708;-;-
11;node10;dd/d0f165;nf-ddd0f1656e104a4b03c131a10830cbe7;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE10_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE10_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732977740;1669732986000;1669732989000;11260;3000;-;104.1;0.1;142520320;1138339840;142520320;1138343936;13502812;3290772;194;421;0;3305472;10;192;/data/work/dd/d0f1656e104a4b03c131a10830cbe7;-;-
13;cpu14;2c/ddcbc6;nf-2cddcbc6adea6579d8d0e42b4d4ec8e4;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE11_SE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE11_SE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732977771;1669732983000;1669732987000;9229;3000;-;96.4;0.8;1148440576;1277177856;1148440576;1302327296;9866749;2508308;195;419;0;2523136;13;167;/data/work/2c/ddcbc6adea6579d8d0e42b4d4ec8e4;-;-
23;node8;11/9f673d;nf-119f673d46f5eb36ffef498a77b4b24d;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE5_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE5_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732978084;1669732985000;1669732988000;9916;3000;-;116.8;0.7;898461696;1132630016;898461696;1132634112;18707206;4951048;209;710;0;4976640;12;315;/data/work/11/9f673d46f5eb36ffef498a77b4b24d;-;-
30;node10;e6/3fd171;nf-e63fd1719b1388a639a6c7d311ae4082;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP;SAMPLE9_PE;NFCORE_VIRALRECON:ILLUMINA:FASTQC_FASTP:FASTP (SAMPLE9_PE);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669732978298;1669732985000;1669732988000;9702;3000;-;115.5;0.5;688730112;1132630016;688730112;1132634112;18707422;4951057;210;710;0;4972544;18;299;/data/work/e6/3fd1719b1388a639a6c7d311ae4082;-;-
