task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
4;cpu05;88/9b030c;nf-889b030c1cae46ec9933b070826a4a03;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669738450814;1669738454000;1669738455000;4186;0;-;72.2;0.0;3182592;5632000;3182592;5636096;699595;4226;279;18;0;12288;6;0;/data/work/88/9b030c1cae46ec9933b070826a4a03;-;-
7;node8;4b/3c044b;nf-4b3c044b9d84e0b1d4651c535cf247bd;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669738450546;1669738460000;1669738461000;10454;0;-;27.1;0.0;3264512;5632000;3264512;5636096;144093;4969;237;20;0;16384;2;0;/data/work/4b/3c044b9d84e0b1d4651c535cf247bd;-;-
9;node10;08/576a60;nf-08576a60a787f2fb43376646bb744630;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669738450668;1669738462000;1669738462000;11332;649;-;4.6;0.0;3112960;4071424;3112960;4079616;99289;5100;261;18;0;16384;2;3;/data/work/08/576a60a787f2fb43376646bb744630;-;-
8;cpu14;a6/3fcd6d;nf-a63fcd6dbb4b5314ba4e91f2058ca5b6;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669738450708;1669738460000;1669738461000;10292;1000;-;50.0;0.0;3190784;5632000;3190784;5636096;712071;1391;280;18;0;12288;2;0;/data/work/a6/3fcd6dbb4b5314ba4e91f2058ca5b6;-;-
3;node8;a9/4d42c5;nf-a94d42c57ab261e57ec4902faa369fa0;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669738450737;1669738461000;1669738461000;10263;87;-;93.8;0.0;2961408;4071424;2961408;4079616;10374984;18316754;1441;1206;0;9179136;4;0;/data/work/a9/4d42c57ab261e57ec4902faa369fa0;-;-
5;cpu14;9f/f09d87;nf-9ff09d8774238994baede5dd612ab0db;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669738450777;1669738461000;1669738462000;11223;459;-;110.2;0.0;3117056;4071424;3117056;4079616;96380809;110259123;7210;7089;0;55144448;2;0;/data/work/9f/f09d8774238994baede5dd612ab0db;-;-
1;node8;6b/2a0da7;nf-6b2a0da7137fd5f294a2e7e8ea45f9f7;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669738450848;1669738458000;1669738462000;11152;0;-;35.2;0.0;2879488;11567104;2879488;11571200;92849;9829;157;413;0;24576;2;1;/data/work/6b/2a0da7137fd5f294a2e7e8ea45f9f7;-;-
6;node10;3a/c555ab;nf-3ac555ab06d7c4513f7120e4b9626802;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669738450594;1669738465000;1669738467000;16406;2000;-;12.9;0.0;41590784;151281664;41590784;218169344;247699;58071;363;45;0;110592;18;14;/data/work/3a/c555ab06d7c4513f7120e4b9626802;-;-
2;node10;13/80cc43;nf-1380cc435e821ee1a5117609da7caa29;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669738450627;1669738465000;1669738465000;14373;0;-;125.5;0.0;3358720;5632000;3358720;5636096;1886746;8721321;595;3047;0;8810496;2;0;/data/work/13/80cc435e821ee1a5117609da7caa29;-;-
10;node10;0b/f0c558;nf-0bf0c558a681f9693ba760a16d17dc30;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669738466237;1669738472000;1669738473000;6763;1000;-;56.8;0.0;70492160;16222814208;70582272;16222818304;18769992;17067;4347;169;0;90112;14;6;/data/work/0b/f0c558a681f9693ba760a16d17dc30;-;-
