task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu05;f3/c58907;nf-f3c5890729801a3341c92dd2b6500601;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;6;21600000;-;38654705664;1;1669719040785;1669719047000;1669719050000;9215;2000;-;1.7;0.0;2805760;11567104;2805760;11571200;93067;9837;158;413;0;24576;2;0;/data/work/f3/c5890729801a3341c92dd2b6500601;-;-
7;node10;96/b9ce7d;nf-96b9ce7de17e9f97a7d5a94f44b51709;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF;GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669719040863;1669719045000;1669719045000;4137;30;-;49.6;0.0;3108864;4071424;3108864;4079616;99292;5101;261;18;0;16384;6;0;/data/work/96/b9ce7de17e9f97a7d5a94f44b51709;-;-
1;node10;f6/0a38e0;nf-f60a38e03b8337e7a500e485434b4d1e;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS;nCoV-2019.primer.bed;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;6;21600000;-;38654705664;1;1669719040932;1669719046000;1669719046000;5068;0;-;81.0;0.0;3325952;5632000;3325952;5636096;699592;4226;279;18;0;12288;2;1;/data/work/f6/0a38e03b8337e7a500e485434b4d1e;-;-
5;cpu14;f9/ebd6ce;nf-f9ebd6ce3e8bdf3dd5f72fa4e3d58c02;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/samtools:1.15.1--h1170115_0;2;14400000;-;12884901888;1;1669719040970;1669719045000;1669719046000;5030;0;-;74.4;0.0;3289088;5632000;3289088;5636096;144329;4978;238;20;0;16384;5;0;/data/work/f9/ebd6ce3e8bdf3dd5f72fa4e3d58c02;-;-
4;cpu05;b6/d20b8d;nf-b6d20b8d8a0a0154ed2e62fb7c3a9ee7;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.4--py39hbb4e92a_0;6;21600000;-;53687091200;1;1669719041006;1669719046000;1669719047000;5994;1000;-;112.6;0.0;3280896;5632000;3280896;5636096;1886749;8721321;594;3044;0;8810496;2;1;/data/work/b6/d20b8d8a0a0154ed2e62fb7c3a9ee7;-;-
8;cpu14;7d/1f9e34;nf-7d1f9e3456b6b910c5b200fa22c861ec;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/blast:2.12.0--pl5262h3289130_0;6;21600000;-;38654705664;1;1669719041046;1669719047000;1669719050000;8954;3000;-;6.9;0.0;35667968;1159774208;35667968;1226661888;247721;58069;363;45;0;110592;61;38;/data/work/7d/1f9e3456b6b910c5b200fa22c861ec;-;-
9;node8;33/7fd228;nf-337fd228fe3d178647bd8e6864f0622c;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB;nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669719040896;1669719052000;1669719053000;12104;718;-;12.4;0.0;3112960;4071424;3112960;4079616;10374982;18316754;1442;1206;0;9179136;2;2;/data/work/33/7fd228fe3d178647bd8e6864f0622c;-;-
10;cpu05;b6/38e62e;nf-b638e62e728eece9b131b443132ed2fc;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD;nCoV-2019.reference.fasta;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta);COMPLETED;0;-;quay.io/biocontainers/snpeff:5.0--hdfd78af_1;2;14400000;-;12884901888;1;1669719051268;1669719053000;1669719055000;3732;2000;-;62.5;0.0;70250496;16222814208;70340608;16222818304;18768335;17067;4351;169;0;90112;24;3;/data/work/b6/38e62e728eece9b131b443132ed2fc;-;-
3;node8;8d/3b8ed6;nf-8d3b8ed66abb0bed8875c475e6d99f0b;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK;input.csv;NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.9--1;1;14400000;-;6442450944;1;1669719040737;1669719053000;1669719053000;12263;0;-;73.4;0.0;3215360;5632000;3215360;5636096;711833;1382;279;18;0;12288;2;3;/data/work/8d/3b8ed66abb0bed8875c475e6d99f0b;-;-
6;node8;7c/151247;nf-7c1512475d5c94762f70337db93b77bc;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB;kraken2_hs22.tar.gz;NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz);COMPLETED;0;-;ubuntu:20.04;2;14400000;-;12884901888;1;1669719040823;1669719053000;1669719054000;13177;470;-;111.7;0.0;3002368;4071424;3002368;4079616;96380572;110259114;7208;7089;0;55144448;2;2;/data/work/7c/1512475d5c94762f70337db93b77bc;-;-
